1,"In perhaps the most blatant instance of a Star Wars character plugging a plot hole, at one point in Return Of The Jedi, Obi-Wan Kenobi brushes aside the lies he told Luke about Vader with this infamous equivocation, ""Many of the truths we cling to depend greatly on our own point of view."" So then, from a certain point of view, Revenge Of The Sith, simultaneously the middle and last Star Wars movie, is the best sequel, and the most pleasing surprise, in the entire saga.

In true Saturday morning serial fashion Sith begins with a chapter left-over from a previous adventure: the rescue of the Chancellor from General Grievous by Anakin, Obi-Wan and the saga's best sidekick: R2-D2. Fast, loose, inventive and within touching distance of funny, this is the spiritual sequel to the original escape from the Death Star, reloaded with full Jedi powers. Like a fragment from a lost civilization, this episode hints at countless Clone Wars escapades that sadly exist only in the extended universe — still, at least we have that bit where Jar Jar falls over the explosive marbles captured on film.",3,2,1
2,"In perhaps the most blatant instance of a Star Wars character plugging a plot hole, at one point in Return Of The Jedi, Obi-Wan Kenobi brushes aside the lies he told Luke about Vader with this infamous equivocation, ""Many of the truths we cling to depend greatly on our own point of view."" So then, from a certain point of view, Revenge Of The Sith, simultaneously the middle and last Star Wars movie, is the best sequel, and the most pleasing surprise, in the entire saga.

In true Saturday morning serial fashion Sith begins with a chapter left-over from a previous adventure: the rescue of the Chancellor from General Grievous by Anakin, Obi-Wan and the saga's best sidekick: R2-D2. Fast, loose, inventive and within touching distance of funny, this is the spiritual sequel to the original escape from the Death Star, reloaded with full Jedi powers. Like a fragment from a lost civilization, this episode hints at countless Clone Wars escapades that sadly exist only in the extended universe — still, at least we have that bit where Jar Jar falls over the explosive marbles captured on film.",4,2,3
3,"In perhaps the most blatant instance of a Star Wars character plugging a plot hole, at one point in Return Of The Jedi, Obi-Wan Kenobi brushes aside the lies he told Luke about Vader with this infamous equivocation, ""Many of the truths we cling to depend greatly on our own point of view."" So then, from a certain point of view, Revenge Of The Sith, simultaneously the middle and last Star Wars movie, is the best sequel, and the most pleasing surprise, in the entire saga.

In true Saturday morning serial fashion Sith begins with a chapter left-over from a previous adventure: the rescue of the Chancellor from General Grievous by Anakin, Obi-Wan and the saga's best sidekick: R2-D2. Fast, loose, inventive and within touching distance of funny, this is the spiritual sequel to the original escape from the Death Star, reloaded with full Jedi powers. Like a fragment from a lost civilization, this episode hints at countless Clone Wars escapades that sadly exist only in the extended universe — still, at least we have that bit where Jar Jar falls over the explosive marbles captured on film.",3,3,4
4,"In perhaps the most blatant instance of a Star Wars character plugging a plot hole, at one point in Return Of The Jedi, Obi-Wan Kenobi brushes aside the lies he told Luke about Vader with this infamous equivocation, ""Many of the truths we cling to depend greatly on our own point of view."" So then, from a certain point of view, Revenge Of The Sith, simultaneously the middle and last Star Wars movie, is the best sequel, and the most pleasing surprise, in the entire saga.

In true Saturday morning serial fashion Sith begins with a chapter left-over from a previous adventure: the rescue of the Chancellor from General Grievous by Anakin, Obi-Wan and the saga's best sidekick: R2-D2. Fast, loose, inventive and within touching distance of funny, this is the spiritual sequel to the original escape from the Death Star, reloaded with full Jedi powers. Like a fragment from a lost civilization, this episode hints at countless Clone Wars escapades that sadly exist only in the extended universe — still, at least we have that bit where Jar Jar falls over the explosive marbles captured on film.",2,3,5
5,"In perhaps the most blatant instance of a Star Wars character plugging a plot hole, at one point in Return Of The Jedi, Obi-Wan Kenobi brushes aside the lies he told Luke about Vader with this infamous equivocation, ""Many of the truths we cling to depend greatly on our own point of view."" So then, from a certain point of view, Revenge Of The Sith, simultaneously the middle and last Star Wars movie, is the best sequel, and the most pleasing surprise, in the entire saga.

In true Saturday morning serial fashion Sith begins with a chapter left-over from a previous adventure: the rescue of the Chancellor from General Grievous by Anakin, Obi-Wan and the saga's best sidekick: R2-D2. Fast, loose, inventive and within touching distance of funny, this is the spiritual sequel to the original escape from the Death Star, reloaded with full Jedi powers. Like a fragment from a lost civilization, this episode hints at countless Clone Wars escapades that sadly exist only in the extended universe — still, at least we have that bit where Jar Jar falls over the explosive marbles captured on film.",5,4,6
6,"In perhaps the most blatant instance of a Star Wars character plugging a plot hole, at one point in Return Of The Jedi, Obi-Wan Kenobi brushes aside the lies he told Luke about Vader with this infamous equivocation, ""Many of the truths we cling to depend greatly on our own point of view."" So then, from a certain point of view, Revenge Of The Sith, simultaneously the middle and last Star Wars movie, is the best sequel, and the most pleasing surprise, in the entire saga.

In true Saturday morning serial fashion Sith begins with a chapter left-over from a previous adventure: the rescue of the Chancellor from General Grievous by Anakin, Obi-Wan and the saga's best sidekick: R2-D2. Fast, loose, inventive and within touching distance of funny, this is the spiritual sequel to the original escape from the Death Star, reloaded with full Jedi powers. Like a fragment from a lost civilization, this episode hints at countless Clone Wars escapades that sadly exist only in the extended universe — still, at least we have that bit where Jar Jar falls over the explosive marbles captured on film.",5,4,1
7,"In perhaps the most blatant instance of a Star Wars character plugging a plot hole, at one point in Return Of The Jedi, Obi-Wan Kenobi brushes aside the lies he told Luke about Vader with this infamous equivocation, ""Many of the truths we cling to depend greatly on our own point of view."" So then, from a certain point of view, Revenge Of The Sith, simultaneously the middle and last Star Wars movie, is the best sequel, and the most pleasing surprise, in the entire saga.

In true Saturday morning serial fashion Sith begins with a chapter left-over from a previous adventure: the rescue of the Chancellor from General Grievous by Anakin, Obi-Wan and the saga's best sidekick: R2-D2. Fast, loose, inventive and within touching distance of funny, this is the spiritual sequel to the original escape from the Death Star, reloaded with full Jedi powers. Like a fragment from a lost civilization, this episode hints at countless Clone Wars escapades that sadly exist only in the extended universe — still, at least we have that bit where Jar Jar falls over the explosive marbles captured on film.",4,5,3
8,"In perhaps the most blatant instance of a Star Wars character plugging a plot hole, at one point in Return Of The Jedi, Obi-Wan Kenobi brushes aside the lies he told Luke about Vader with this infamous equivocation, ""Many of the truths we cling to depend greatly on our own point of view."" So then, from a certain point of view, Revenge Of The Sith, simultaneously the middle and last Star Wars movie, is the best sequel, and the most pleasing surprise, in the entire saga.

In true Saturday morning serial fashion Sith begins with a chapter left-over from a previous adventure: the rescue of the Chancellor from General Grievous by Anakin, Obi-Wan and the saga's best sidekick: R2-D2. Fast, loose, inventive and within touching distance of funny, this is the spiritual sequel to the original escape from the Death Star, reloaded with full Jedi powers. Like a fragment from a lost civilization, this episode hints at countless Clone Wars escapades that sadly exist only in the extended universe — still, at least we have that bit where Jar Jar falls over the explosive marbles captured on film.",5,5,5
9,"In perhaps the most blatant instance of a Star Wars character plugging a plot hole, at one point in Return Of The Jedi, Obi-Wan Kenobi brushes aside the lies he told Luke about Vader with this infamous equivocation, ""Many of the truths we cling to depend greatly on our own point of view."" So then, from a certain point of view, Revenge Of The Sith, simultaneously the middle and last Star Wars movie, is the best sequel, and the most pleasing surprise, in the entire saga.

In true Saturday morning serial fashion Sith begins with a chapter left-over from a previous adventure: the rescue of the Chancellor from General Grievous by Anakin, Obi-Wan and the saga's best sidekick: R2-D2. Fast, loose, inventive and within touching distance of funny, this is the spiritual sequel to the original escape from the Death Star, reloaded with full Jedi powers. Like a fragment from a lost civilization, this episode hints at countless Clone Wars escapades that sadly exist only in the extended universe — still, at least we have that bit where Jar Jar falls over the explosive marbles captured on film.",5,6,5
10,"In perhaps the most blatant instance of a Star Wars character plugging a plot hole, at one point in Return Of The Jedi, Obi-Wan Kenobi brushes aside the lies he told Luke about Vader with this infamous equivocation, ""Many of the truths we cling to depend greatly on our own point of view."" So then, from a certain point of view, Revenge Of The Sith, simultaneously the middle and last Star Wars movie, is the best sequel, and the most pleasing surprise, in the entire saga.

In true Saturday morning serial fashion Sith begins with a chapter left-over from a previous adventure: the rescue of the Chancellor from General Grievous by Anakin, Obi-Wan and the saga's best sidekick: R2-D2. Fast, loose, inventive and within touching distance of funny, this is the spiritual sequel to the original escape from the Death Star, reloaded with full Jedi powers. Like a fragment from a lost civilization, this episode hints at countless Clone Wars escapades that sadly exist only in the extended universe — still, at least we have that bit where Jar Jar falls over the explosive marbles captured on film.",5,10,5
